iter	Passed	Remaining
866	1936	297
867	1938	294
868	1939	292
869	1941	290
870	1943	287
871	1944	285
872	1946	283
873	1949	281
874	1952	278
875	1953	276
876	1955	274
877	1957	272
878	1959	269
879	1963	267
880	1964	265
881	1966	263
882	1968	260
883	1970	258
884	1972	256
885	1974	253
886	1975	251
887	1978	249
888	1980	247
889	1981	244
890	1983	242
891	1984	240
892	1985	237
893	1987	235
894	1988	233
895	1990	231
896	1993	228
897	1994	226
898	1996	224
899	1997	221
900	1999	219
901	2001	217
902	2003	215
903	2005	212
904	2008	210
905	2009	208
906	2011	206
907	2012	203
908	2013	201
909	2015	199
910	2016	197
911	2018	194
912	2020	192
913	2022	190
914	2024	188
915	2025	185
916	2027	183
917	2028	181
918	2030	178
919	2031	176
920	2034	174
921	2036	172
922	2038	170
923	2040	167
924	2042	165
925	2044	163
926	2046	161
927	2048	158
928	2051	156
929	2053	154
930	2054	152
931	2056	150
932	2057	147
933	2059	145
934	2060	143
935	2062	140
936	2067	139
937	2069	136
938	2070	134
939	2072	132
940	2073	130
941	2075	127
942	2076	125
943	2077	123
944	2081	121
945	2082	118
946	2084	116
947	2085	114
948	2087	112
949	2088	109
950	2090	107
951	2091	105
952	2093	103
953	2096	101
954	2098	98
955	2099	96
956	2101	94
957	2102	92
958	2103	89
959	2105	87
960	2106	85
961	2110	83
962	2111	81
963	2113	78
964	2114	76
965	2115	74
966	2117	72
967	2118	70
968	2120	67
969	2121	65
970	2125	63
971	2127	61
972	2128	59
973	2130	56
974	2132	54
975	2134	52
976	2135	50
977	2137	48
978	2141	45
979	2143	43
980	2145	41
981	2146	39
982	2148	37
983	2151	34
984	2154	32
985	2156	30
986	2157	28
987	2159	26
988	2160	24
989	2161	21
990	2163	19
991	2164	17
992	2166	15
993	2169	13
994	2171	10
995	2173	8
996	2174	6
997	2175	4
998	2177	2
999	2178	0
